fiscal_year,main_revenue_indicator_en,main_revenue_indicator_kh,sub_revenue_indicator_en,sub_revenue_indicator_kh,budget_law_amount ,implement_amount , deficit_surplus ,comment
2012,Current Revenue,ចំណូលចរន្ត,,,7300657,7892679.9,592022.9,
2012,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,80000,250851.7,170851.7,
2012,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,520000,118120.5,-401879.5,
2012,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,2860000,4022634.5,1162634.5,
2011,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,350550,0,-350550,"This figure includes the use of government deposits amounting to 350,550  million riels."
2011,Current Revenue,ចំណូលចរន្ត,,,6499652,6370103.2,-129548.8,
2011,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,57000,76544.3,19544.3,
2011,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,342450,222019.5,-120430.5,
2011,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,2600000,3402691.8,802691.8,
2010,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,195000,0,-195000,"This figure includes the use of government deposits amounting to195,000  million riels."
2010,Current Revenue,ចំណូលចរន្ត,,,5692772.9,5812516.3,119743.4,
2010,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,48000,129917.4,81917.4,
2010,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,364000,166283.6,-197716.4,
2010,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,2000000,3420428.6,1420428.6,
2009,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,90000,0,-90000,"This figure includes the use of government deposits amounting to 90,000  million riels."
2009,Current Revenue,ចំណូលចរន្ត,,,5086566.7,4898895.7,-187671,
2009,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,48000,29284.5,-18715.5,
2009,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,335000,315106.3,-19893.7,
